cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtaltera;cdusuarioaltera;cdenderecoentrega;observacao;cdvendasituacao;cdconta;valorfrete;frete;cdformapagamento;cdprazopagamento;cdpedidovenda;desconto;prazomedio;bonificacao;taxavenda;cdlocalarmazenagem;identificador;percentualdesconto;observacaointerna;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;valoraproximadoimposto;valorfretecif;sinalizadosemreserva;intermediadornfe;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54551;3;90;18981.0;2025-01-12;2026-01-13 06:21:42;238;86.0;nao_informado;2.0;2;0.0;1.0;2.0;57.0;53663.0;0.0;false;false;0.0;1.0;2735;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54584;3;114;18981.0;2025-01-12;2026-01-13 06:26:42;238;108.0;nao_informado;2.0;;0.0;1.0;70.0;48.0;53725.0;0.0;false;false;0.0;1.0;2736;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54586;3;19541;373.0;2025-01-12;2026-01-13 11:53:06;373;19142.0;nao_informado;2.0;;0.0;2.0;70.0;49.0;53727.0;0.0;false;false;0.0;1.0;2737;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54585;5;3568;373.0;2025-01-12;;373;3268.0;nao_informado;2.0;3;0.0;2.0;2.0;48.0;53726.0;0.0;false;false;0.0;2.0;860;;nao_informado;false;3569.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54587;5;5;373.0;2025-01-12;;373;11419.0;nao_informado;2.0;3;0.0;1.0;2.0;50.0;53728.0;0.0;false;false;0.0;2.0;861;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54589;5;59;373.0;2025-01-12;2026-01-13 12:37:06;373;55.0;nao_informado;2.0;3;0.0;1.0;2.0;68.0;53730.0;0.0;false;false;0.0;2.0;863;;nao_informado;false;502.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54588;5;6406;373.0;2025-01-12;;373;6172.0;nao_informado;2.0;3;0.0;1.0;2.0;50.0;53729.0;0.0;false;false;0.0;2.0;862;;nao_informado;false;12049.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54590;3;112;373.0;2025-01-12;;373;106.0;nao_informado;2.0;;0.0;2.0;70.0;63.0;53731.0;0.0;false;false;0.0;1.0;2738;;nao_informado;false;9574.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54591;5;75;373.0;2025-01-12;2026-01-13 15:23:54;373;71.0;nao_informado;2.0;3;0.0;1.0;2.0;80.0;53732.0;0.0;false;false;0.0;2.0;864;;nao_informado;false;571.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54592;5;77;373.0;2025-01-12;;373;73.0;"usar prazo de pagamento
 60 dias"" nas compras até r$: 1.000,00.";;;;;;;;;;;;;;;nao_informado;;;0.0;;;;;0.0;;;;;0.0;
