cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtestorno;dtaltera;cdusuarioaltera;cdenderecoentrega;orcamento;observacao;cdvendasituacao;cdconta;cdindicecorrecao;valorfrete;frete;cdterceiro;cdformapagamento;cdprazopagamento;cdpedidovenda;identificadorexterno;desconto;prazomedio;saldofinal;cdprojeto;identificadorcarregamento;bonificacao;taxavenda;cdlocalarmazenagem;identificador;expedicaovendasituacao;taxapedidovenda;cdmaterialtabelapreco;percentualdesconto;cdclienteindicacao;qtdeparcelas;cdvendaorcamento;observacaointerna;cdclientevalecompra;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;origemwebservice;cdfornecedor;percentualrepresentacao;cdprazopagamentorepresentacao;cdformapagamentorepresentacao;cdcontarepresentacao;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;criacaofinalizada;aprovando;valoraproximadoimposto;limitecreditoexcedido;cdcentrocusto;valorfretecif;origemotr;cdenderecofaturamento;vendapendencianaonegociada;quantidadevolumes;sinalizadosemreserva;expedicaosituacao;cdparceiro;entregaecommercerealizada;intermediadornfe;cdintermediador;cdclienteremessa;incideiss;numeropedido;nsu;codigoautorizacao;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54551;3;90;18981;01/12/2025;;06:21.7;238;86;;;2;2;;0;1;;2;57;53663;;0;false;;;;false;0;1;2735;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54584;3;114;18981;01/12/2025;;06:26.7;238;108;;;2;;;0;1;;70;48;53725;;0;false;;;;false;0;1;2736;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54586;3;19541;373;01/12/2025;;11:53.1;373;19142;;;2;;;0;2;;70;49;53727;;0;false;;;;false;0;1;2737;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54585;5;3568;373;01/12/2025;;57:50.9;373;3268;;;2;3;;0;2;;2;48;53726;;0;false;;;;false;0;2;860;;;;;;;;;;false;3569;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54587;5;5;373;01/12/2025;;24:35.8;373;11419;;;2;3;;0;1;;2;50;53728;;0;false;;;;false;0;2;861;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54589;5;59;373;01/12/2025;;12:37.1;373;55;;;2;3;;0;1;;2;68;53730;;0;false;;;;false;0;2;863;;;;;;;;;;false;502;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54588;5;6406;373;01/12/2025;;41:46.1;373;6172;;;2;3;;0;1;;2;50;53729;;0;false;;;;false;0;2;862;;;;;;;;;;false;12049;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54590;3;112;373;01/12/2025;;47:00.5;373;106;;;2;;;0;2;;70;63;53731;;0;false;;;;false;0;1;2738;;;;;;;;;;false;9574;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54591;5;75;373;01/12/2025;;15:23.9;373;71;;;2;3;;0;1;;2;80;53732;;0;false;;;;false;0;2;864;;;;;;;;;;false;571;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54592;5;77;373;01/12/2025;;41:01.5;373;73;;"USAR PRAZO DE PAGAMENTO
 60 DIAS"" NAS COMPRAS ATÉ R$: 1.000,00.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"''53, 60 e 67'' NAS COMPRAS A CIMA DE  R$: 1.000,00.""";2;3;;0;2;;2;80;53733;;0;false;;;;false;0;2;865;;;;;;;;;;false;410;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false;;;;;;;;;;
